complaint_text,matched_locality,matched_ward_name,matched_ward_no
Water leak in Trilokpuri block 14,trilokpuri block 1,trilokpuri,192.0
Street light not working in Dwarka sector 10,dwarka sector 1,dwarka - a,121.0
Garbage not collected near Mayur Vihar phase 2,mayur vihar phase 2,mayur vihar phase-ii,196.0
Road pothole in Okhla phase 2,okhla phase 2,harkesh nagar,177.0
Broken footpath in Rohini sector 3,rohini sector 3,rohini-d,54.0
Overflowing drains in Narela Mandi,narela mandi,narela,1.0
Broken street lamp in Shastri Nagar,shastri nagar,shastri nagar,70.0
Illegal dumping of waste in Trilokpuri block 18,trilokpuri block 1,trilokpuri,192.0
Park lights not working in Dwarka sector 5,dwarka sector 5,madhu vihar,136.0
Waterlogging near Mayur Vihar phase 1,mayur vihar phase 1,mayur vihar phase-i,191.0
Potholes near Okhla phase 3,okhla phase 3,harkesh nagar,177.0
Missing manhole cover in Rohini sector 7,rohini sector 7,rohini-a,21.0
Street cleaning required in Narela Ind. Area,,,
Tree roots damaging footpath in Trilokpuri block 2,trilokpuri block 2,trilokpuri,192.0
Overflowing garbage bins in Mayur Vihar phase 2,mayur vihar phase 2,mayur vihar phase-ii,196.0
Broken street sign in Dwarka sector 22,dwarka sector 22,dwarka-c,130.0
Road repair needed in Okhla phase 2,okhla phase 2,harkesh nagar,177.0
Streetlight flickering in Rohini sector 4,rohini sector 4,vijay vihar,24.0
Blocked drains in Shastri Nagar,shastri nagar,shastri nagar,70.0
Garbage collection delayed in Narela Mandi,narela mandi,narela,1.0
abe yar fir se bijili chala gaya ,,,
red fort se samne ek kachre ka sam hai,red fort,chandni chowk,74.0
the towering Qutub Minar is most beautiful monument in delhi,,,
A local official is asking for extra money just to give a receipt for the community hall booking. This is pure corruption in Janakpuri West,,,
Water leakage in Trilokpuri block 14,trilokpuri block 1,trilokpuri,192.0
Street light not working in Rohini sector 3,rohini sector 3,rohini-d,54.0
Garbage not collected near Mayur Vihar phase 2,mayur vihar phase 2,mayur vihar phase-ii,196.0
Road pothole in Okhla Industrial Area,,,
Broken footpath in Lajpat Nagar,,,
Overflowing drains in Narela Mandi,narela mandi,narela,1.0
Street light flickering in Dwarka sector 10,dwarka sector 1,dwarka - a,121.0
Drain blockage near Shastri Park metro station,shastri park,shastri park,213.0
Garbage dumping in Bhajanpura extension,bhajanpura,bhajanpura (gen),230.0
Sewage overflow in Geeta Colony block B,geeta colony,geeta colony,210.0
Water leak in trilok puri blk 14,,,
Street light problem rohni sec 3,,,
Garbage near mayur vihar ph 2,,,
Road damage okhla ind area,,,
Drain blockage lajpt nagar,,,
Garbage near bhajanpura ext,bhajanpura,bhajanpura (gen),230.0
Water logging in geeta colony blk c,geeta colony,geeta colony,210.0
Streetlight issue shastripark,,,
Drain overflow aryapura shahdara,,,
Garbage dump ghonda gujran part,,,
pani leak ho raha hai trilokpuri block 14,trilokpuri block 1,trilokpuri,192.0
rohini sector 3 me street light kharab hai,rohini sector 3,rohini-d,54.0
mayur vihar phase 2 me garbage collect nahi ho raha,mayur vihar phase 2,mayur vihar phase-ii,196.0
okhla industrial area me drain jam hai,,,
narela mandi ke paas pani bhar gaya hai,narela mandi,narela,1.0
bhajanpura extension me road toot gaya hai,bhajanpura,bhajanpura (gen),230.0
shastri park metro ke paas kachra pada hai,shastri park,shastri park,213.0
geeta colony block d me sewer overflow hai,geeta colony,geeta colony,210.0
lajpat nagar me street light band hai,,,
aryapura shahdara me road damage hai,,,
Water pipe burst near my house,,,
Garbage not collected in our area,,,
Street light not working outside building,,,
Road pothole near market,,,
Drain overflow near bus stop,,,
Park lights not working,,,
Sewage overflow near temple,,,
Garbage dumping near school,,,
Broken road near hospital,,,
Street light problem near shop,,,
The Red Fort is a famous monument in Delhi,red fort,chandni chowk,74.0
Qutub Minar is a historical structure,,,
I visited India Gate yesterday,,,
Delhi is the capital of India,,,
The metro station was very crowded,,,
I went shopping in Chandni Chowk market,,,
The weather in Delhi is very hot today,,,
This area has many restaurants,,,
I watched a movie last night,,,
The park near my house is beautiful,,,
abe yaar rohni sec 3 me fir se light chali gayi,,,
bhai mayur vihar ph2 me bahut kachra jama hai,,,
okhla ind area me gutter overflow ho raha,,,
narela mandi ke paas road toot gaya,narela mandi,narela,1.0
dwarka sec10 me pani bhar gaya hai,,,
bhajanpura extn me safai nahi ho rahi,bhajanpura,bhajanpura (gen),230.0
shastri prk metro ke samne kachra pada hai,,,
lajpat ngr market me street light kharab hai,,,
geeta colony blk e me sewer jam hai,geeta colony,geeta colony,210.0
aryapura gaon me road kharab hai,,,
